Rit 1, 2025-05-09, 11:16:17
11:16:47.703
11:16:49.224
11:16:50.757
11:16:52.212

Rit 2, 2025-05-09, 11:18:06
11:18:32.348
11:18:34.578
11:18:35.775
11:18:36.926

Rit 3, 2025-05-09, 11:19:50
11:20:09.133
11:20:10.139
11:20:11.157
11:20:12.108

Rit 4, 2025-05-09, 11:21:41
11:22:01.011
11:22:02.896
11:22:03.748
11:22:04.580

Rit 5, 2025-05-09, 11:23:27
11:23:43.784
11:23:44.551
11:23:45.330
11:23:46.055

11:24:29.412
Rit 6, 2025-05-09, 11:26:58
11:27:22.738
11:27:23.743
11:27:24.761
11:27:25.748

Rit 7, 2025-05-09, 11:28:48
11:29:10.822
11:29:10.628
11:29:11.432
11:29:12.231

Rit 8, 2025-05-09, 11:30:35
11:30:51.517
11:30:52.190
11:30:52.862
11:30:53.526

Rit 9, 2025-05-09, 11:32:21
11:32:37.654
11:32:38.234
11:32:39.801
11:32:39.393

Rit 10, 2025-05-09, 11:34:37
11:34:52.275
11:34:52.789
11:34:53.302
11:34:53.814

Rit 11, 2025-05-09, 11:37:36
11:37:55.053
11:37:56.567
11:37:56.080
11:37:57.645

Rit 12, 2025-05-09, 11:39:57
11:40:18.684
11:40:18.066
11:40:19.474
11:40:19.934

Rit 13, 2025-05-09, 11:42:21
11:42:35.485
11:42:36.813
11:42:36.140
11:42:36.548

Rit 14, 2025-05-09, 11:44:33
11:44:45.399
11:44:49.346
11:44:50.662
11:44:50.937
11:44:50.264

Rit 15, 2025-05-09, 11:47:24
11:48:01.807
11:48:01.082
11:48:01.317
11:48:02.619

Rit 16, 2025-05-09, 11:51:15
11:51:32.494
11:51:32.584
11:51:32.699
11:51:32.788

Rit 17, 2025-05-09, 11:52:28
11:52:41.522
11:52:41.612
11:52:41.685
11:52:41.773

Rit 18, 2025-05-09, 11:53:37
11:53:50.679
11:53:50.769
11:53:50.831
11:53:50.893

Rit 19, 2025-05-09, 11:54:44
11:54:53.739
11:54:53.802
11:54:53.864
11:54:53.926

Rit 20, 2025-05-09, 11:55:56
11:56:08.826
11:56:08.889
11:56:08.959
11:56:08.994

Rit 21, 2025-05-09, 11:57:44
11:57:53.841
11:57:53.904

Rit 22, 2025-05-09, 11:59:19
11:59:36.735
11:59:36.825

Rit 23, 2025-05-09, 12:01:48
12:02:03.464
12:02:03.607
12:02:03.722
12:02:04.863

Rit 24, 2025-05-09, 12:03:39
12:03:54.265
12:03:54.381
12:03:54.496
12:03:54.587

